OPERATOR,ADJUSTED_EARLY_COUNT,ADJUSTED_LATE_COUNT,ADJUSTED_ONTIME_COUNT,TOTAL_COUNTS,ONTIME_PERC
0,0,0,1,1,100.0
56,0,0,3,3,100.0
2294,0,0,45,45,100.0
1762,16,23,2294,2333,98.33
1706,1,0,43,44,97.73
1597,0,6,252,258,97.67
2639,3,2,202,207,97.58
2573,0,12,400,412,97.09
409,9,61,2310,2380,97.06
1566,17,48,2135,2200,97.05
2355,5,11,508,524,96.95
522,13,53,1753,1819,96.37
2338,1,0,26,27,96.3
2493,1,1,52,54,96.3
379,31,56,2172,2259,96.15
1927,38,58,2317,2413,96.02
723,25,26,1203,1254,95.93
1040,53,22,1695,1770,95.76
2472,0,1,22,23,95.65
1133,13,107,2505,2625,95.43
1617,31,54,1721,1806,95.29
2029,0,2,40,42,95.24
2432,4,9,229,242,94.63
1394,29,40,1174,1243,94.45
2321,19,66,1335,1420,94.01
1305,27,73,1490,1590,93.71
2322,37,31,996,1064,93.61
2623,12,52,895,959,93.33
2809,10,21,429,460,93.26
2374,13,108,1625,1746,93.07
2088,52,93,1876,2021,92.83
2041,14,97,1437,1548,92.83
1198,0,8,99,107,92.52
1703,35,63,1172,1270,92.28
3138,15,7,258,280,92.14
1682,11,118,1454,1583,91.85
375,0,1,11,12,91.67
1780,11,22,356,389,91.52
3166,0,3,32,35,91.43
2103,40,11,529,580,91.21
2610,8,106,1164,1278,91.08
2958,29,51,816,896,91.07
3173,0,2,20,22,90.91
1147,159,88,2439,2686,90.8
2584,10,53,616,679,90.72
1343,62,109,1671,1842,90.72
1170,187,13,1923,2123,90.58
1598,11,63,686,760,90.26
1761,178,31,1917,2126,90.17
1368,42,190,2117,2349,90.12
2313,0,1,9,10,90.0
2377,0,1,9,10,90.0
2649,23,84,952,1059,89.9
1208,44,141,1641,1826,89.87
1601,2,114,1026,1142,89.84
1716,29,45,649,723,89.76
1489,65,65,1130,1260,89.68
1052,7,174,1562,1743,89.62
2178,2,9,93,104,89.42
1992,20,177,1660,1857,89.39
2697,19,111,1041,1171,88.9
1372,3,214,1730,1947,88.85
2207,8,80,696,784,88.78
1505,10,99,853,962,88.67
304,3,275,2155,2433,88.57
1419,24,65,681,770,88.44
1838,4,33,278,315,88.25
2764,8,68,569,645,88.22
1410,28,243,2027,2298,88.21
2464,1,4,37,42,88.1
1266,75,268,2522,2865,88.03
1330,55,117,1261,1433,88.0
2762,8,33,299,340,87.94
2669,4,56,437,497,87.93
1865,26,110,976,1112,87.77
1823,34,222,1834,2090,87.75
2161,15,176,1363,1554,87.71
785,120,85,1455,1660,87.65
2253,1,9,70,80,87.5
1915,32,17,342,391,87.47
1743,36,61,673,770,87.4
1619,8,110,815,933,87.35
3100,10,92,698,800,87.25
611,0,144,981,1125,87.2
1848,36,45,551,632,87.18
624,39,96,909,1044,87.07
3116,4,52,376,432,87.04
2435,0,2,13,15,86.67
2505,38,109,944,1091,86.53
341,50,109,1014,1173,86.45
3149,4,8,76,88,86.36
2458,78,105,1153,1336,86.3
1914,21,266,1802,2089,86.26
1893,17,214,1439,1670,86.17
1867,8,45,330,383,86.16
2821,10,71,501,582,86.08
2348,8,149,955,1112,85.88
3027,15,28,261,304,85.86
2217,22,171,1158,1351,85.71
2646,5,0,30,35,85.71
2040,86,124,1255,1465,85.67
2200,13,209,1320,1542,85.6
1457,75,109,1083,1267,85.48
1190,30,244,1603,1877,85.4
329,35,264,1749,2048,85.4
2424,46,325,2146,2517,85.26
2876,6,142,855,1003,85.24
1251,20,135,890,1045,85.17
2534,71,51,691,813,84.99
1782,25,100,707,832,84.98
3015,3,101,584,688,84.88
2675,139,25,911,1075,84.74
1763,14,204,1210,1428,84.73
1078,0,45,249,294,84.69
1717,178,50,1259,1487,84.67
2357,55,119,954,1128,84.57
1621,7,19,141,167,84.43
517,8,272,1503,1783,84.3
2399,21,367,2041,2429,84.03
3129,51,102,796,949,83.88
1713,12,149,830,991,83.75
1582,11,343,1821,2175,83.72
1948,10,245,1306,1561,83.66
2972,17,163,915,1095,83.56
1984,7,47,273,327,83.49
1866,27,176,1023,1226,83.44
1175,7,173,905,1085,83.41
2545,16,126,714,856,83.41
2055,2,281,1420,1703,83.38
2256,1,0,5,6,83.33
3126,11,108,595,714,83.33
3102,34,47,404,485,83.3
559,3,340,1687,2030,83.1
2967,24,222,1207,1453,83.07
1361,162,158,1567,1887,83.04
1824,35,323,1750,2108,83.02
778,103,170,1323,1596,82.89
2503,12,71,397,480,82.71
1892,41,203,1160,1404,82.62
2662,16,3,90,109,82.57
414,26,227,1196,1449,82.54
1542,7,241,1171,1419,82.52
2987,7,31,179,217,82.49
2352,216,241,2148,2605,82.46
1788,30,288,1483,1801,82.34
2059,28,183,968,1179,82.1
2177,15,174,866,1055,82.09
2228,9,48,260,317,82.02
2733,118,289,1855,2262,82.01
3012,5,168,785,958,81.94
2230,161,54,969,1184,81.84
471,8,142,673,823,81.77
2976,17,115,588,720,81.67
1362,0,10,44,54,81.48
2969,77,157,1024,1258,81.4
1736,23,237,1133,1393,81.34
2703,14,127,611,752,81.25
2529,90,132,960,1182,81.22
2978,30,164,836,1030,81.17
2563,70,14,359,443,81.04
2127,49,217,1132,1398,80.97
1797,59,88,625,772,80.96
1202,17,144,673,834,80.7
2440,36,148,769,953,80.69
3079,107,155,1075,1337,80.4
2780,39,392,1767,2198,80.39
2033,12,162,708,882,80.27
2164,27,350,1532,1909,80.25
1379,22,233,1031,1286,80.17
1391,35,98,537,670,80.15
2324,12,277,1162,1451,80.08
244,0,5,20,25,80.0
1673,1,153,614,768,79.95
2479,12,47,235,294,79.93
1177,27,319,1374,1720,79.88
1524,18,79,384,481,79.83
2638,34,367,1586,1987,79.82
2567,43,294,1317,1654,79.63
2752,36,184,859,1079,79.61
2497,4,76,312,392,79.59
2246,25,462,1895,2382,79.55
2494,1,7,31,39,79.49
2221,2,126,494,622,79.42
3020,29,130,613,772,79.4
2586,32,98,501,631,79.4
3124,19,125,555,699,79.4
1792,5,360,1405,1770,79.38
2001,12,398,1561,1971,79.2
2459,16,156,646,818,78.97
572,38,154,716,908,78.85
2594,98,102,744,944,78.81
2603,14,122,505,641,78.78
2569,66,45,411,522,78.74
2624,43,131,644,818,78.73
2126,0,10,37,47,78.72
1222,8,383,1441,1832,78.66
3016,26,199,828,1053,78.63
1603,86,32,433,551,78.58
3122,16,256,984,1256,78.34
2793,31,352,1382,1765,78.3
659,379,44,1492,1915,77.91
1406,2,62,224,288,77.78
2760,38,487,1835,2360,77.75
2371,92,230,1124,1446,77.73
2512,54,205,901,1160,77.67
2062,61,386,1523,1970,77.31
2706,98,428,1784,2310,77.23
