Variable1,Variable2,Correlation
OPERATOR,OPERATOR,1.0
ADJUSTED_EARLY_COUNT,OPERATOR,-0.069
ADJUSTED_LATE_COUNT,OPERATOR,0.003
ADJUSTED_ONTIME_COUNT,OPERATOR,-0.271
TOTAL_COUNTS,OPERATOR,-0.233
ONTIME_PERC,OPERATOR,-0.113
OPERATOR,ADJUSTED_EARLY_COUNT,-0.069
ADJUSTED_EARLY_COUNT,ADJUSTED_EARLY_COUNT,1.0
ADJUSTED_LATE_COUNT,ADJUSTED_EARLY_COUNT,0.064
ADJUSTED_ONTIME_COUNT,ADJUSTED_EARLY_COUNT,0.393
TOTAL_COUNTS,ADJUSTED_EARLY_COUNT,0.405
ONTIME_PERC,ADJUSTED_EARLY_COUNT,0.095
OPERATOR,ADJUSTED_LATE_COUNT,0.003
ADJUSTED_EARLY_COUNT,ADJUSTED_LATE_COUNT,0.064
ADJUSTED_LATE_COUNT,ADJUSTED_LATE_COUNT,1.0
ADJUSTED_ONTIME_COUNT,ADJUSTED_LATE_COUNT,0.441
TOTAL_COUNTS,ADJUSTED_LATE_COUNT,0.617
ONTIME_PERC,ADJUSTED_LATE_COUNT,-0.298
OPERATOR,ADJUSTED_ONTIME_COUNT,-0.271
ADJUSTED_EARLY_COUNT,ADJUSTED_ONTIME_COUNT,0.393
ADJUSTED_LATE_COUNT,ADJUSTED_ONTIME_COUNT,0.441
ADJUSTED_ONTIME_COUNT,ADJUSTED_ONTIME_COUNT,1.0
TOTAL_COUNTS,ADJUSTED_ONTIME_COUNT,0.977
ONTIME_PERC,ADJUSTED_ONTIME_COUNT,0.369
OPERATOR,TOTAL_COUNTS,-0.233
ADJUSTED_EARLY_COUNT,TOTAL_COUNTS,0.405
ADJUSTED_LATE_COUNT,TOTAL_COUNTS,0.617
ADJUSTED_ONTIME_COUNT,TOTAL_COUNTS,0.977
TOTAL_COUNTS,TOTAL_COUNTS,1.0
ONTIME_PERC,TOTAL_COUNTS,0.247
OPERATOR,ONTIME_PERC,-0.113
ADJUSTED_EARLY_COUNT,ONTIME_PERC,0.095
ADJUSTED_LATE_COUNT,ONTIME_PERC,-0.298
ADJUSTED_ONTIME_COUNT,ONTIME_PERC,0.369
TOTAL_COUNTS,ONTIME_PERC,0.247
ONTIME_PERC,ONTIME_PERC,1.0
